Product Title,Review,Rating
"Apple iPhone 15 (Black, 128 GB) Reviews",Awesome photography experience. Battery backup is good . Display is much better than 14 version.,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Awesome photography experience. Battery backup is good . Display is much better than 14 version.,5
"Apple iPhone 15 (Black, 128 GB) Reviews",High quality camerağŸ˜,5
"Apple iPhone 15 (Black, 128 GB) Reviews",High quality camerağŸ˜,4
"Apple iPhone 15 (Black, 128 GB) Reviews","Nice product with all features specially its looks and camera battery backup is good
You should buy it without any issues",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Nice product with all features specially its looks and camera battery backup is good
You should buy it without any issues",5
"Apple iPhone 15 (Black, 128 GB) Reviews",Very nice,4
"Apple iPhone 15 (Black, 128 GB) Reviews",Very nice,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Just go for it.Amazing one.Beautiful camera with super fast processor,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Just go for it.Amazing one.Beautiful camera with super fast processor,5
"Apple iPhone 15 (Black, 128 GB) Reviews","Awesome product very happy to hold this. Better In hand feel,matte finish.
Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.

60Hz display is a dealbreaker for some.Its not much noticeable.

Thank u Flipkart for the best deal and quick delivery.",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Awesome product very happy to hold this. Better In hand feel,matte finish.
Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.

60Hz display is a dealbreaker for some.Its not much noticeable.

Thank u Flipkart for the best deal and quick delivery.",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother ğŸ‘µğŸ» in portrait mode and results r here in front of you guys ğŸ˜ğŸ˜˜",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother ğŸ‘µğŸ» in portrait mode and results r here in front of you guys ğŸ˜ğŸ˜˜",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Totally happy!
Camera 5
Battery 5
Display 5
Design 5",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Totally happy!
Camera 5
Battery 5
Display 5
Design 5",5
"Apple iPhone 15 (Black, 128 GB) Reviews",for me its 10 out of 10âœ¨,5
"Apple iPhone 15 (Black, 128 GB) Reviews",for me its 10 out of 10âœ¨,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Simply premium.,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Simply premium.,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Awesome photography experience. Battery backup is good . Display is much better than 14 version.,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Awesome photography experience. Battery backup is good . Display is much better than 14 version.,5
"Apple iPhone 15 (Black, 128 GB) Reviews",High quality camerağŸ˜,5
"Apple iPhone 15 (Black, 128 GB) Reviews",High quality camerağŸ˜,4
"Apple iPhone 15 (Black, 128 GB) Reviews","Nice product with all features specially its looks and camera battery backup is good
You should buy it without any issues",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Nice product with all features specially its looks and camera battery backup is good
You should buy it without any issues",5
"Apple iPhone 15 (Black, 128 GB) Reviews",Very nice,4
"Apple iPhone 15 (Black, 128 GB) Reviews",Very nice,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Just go for it.Amazing one.Beautiful camera with super fast processor,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Just go for it.Amazing one.Beautiful camera with super fast processor,5
"Apple iPhone 15 (Black, 128 GB) Reviews","Awesome product very happy to hold this. Better In hand feel,matte finish.
Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.

60Hz display is a dealbreaker for some.Its not much noticeable.

Thank u Flipkart for the best deal and quick delivery.",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Awesome product very happy to hold this. Better In hand feel,matte finish.
Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.

60Hz display is a dealbreaker for some.Its not much noticeable.

Thank u Flipkart for the best deal and quick delivery.",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother ğŸ‘µğŸ» in portrait mode and results r here in front of you guys ğŸ˜ğŸ˜˜",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother ğŸ‘µğŸ» in portrait mode and results r here in front of you guys ğŸ˜ğŸ˜˜",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Totally happy!
Camera 5
Battery 5
Display 5
Design 5",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Totally happy!
Camera 5
Battery 5
Display 5
Design 5",5
"Apple iPhone 15 (Black, 128 GB) Reviews",for me its 10 out of 10âœ¨,5
"Apple iPhone 15 (Black, 128 GB) Reviews",for me its 10 out of 10âœ¨,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Simply premium.,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Simply premium.,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Awesome photography experience. Battery backup is good . Display is much better than 14 version.,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Awesome photography experience. Battery backup is good . Display is much better than 14 version.,5
"Apple iPhone 15 (Black, 128 GB) Reviews",High quality camerağŸ˜,5
"Apple iPhone 15 (Black, 128 GB) Reviews",High quality camerağŸ˜,4
"Apple iPhone 15 (Black, 128 GB) Reviews","Nice product with all features specially its looks and camera battery backup is good
You should buy it without any issues",5
"Apple iPhone 15 (Black, 128 GB) Reviews","Nice product with all features specially its looks and camera battery backup is good
You should buy it without any issues",5
"Apple iPhone 15 (Black, 128 GB) Reviews",Very nice,4
"Apple iPhone 15 (Black, 128 GB) Reviews",Very nice,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Just go for it.Amazing one.Beautiful camera with super fast processor,5
"Apple iPhone 15 (Black, 128 GB) Reviews",Just go for it.Amazing one.Beautiful camera with super fast processor,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Love you,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Love you,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Love you,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Love you,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice camera ğŸ“¸ quality,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Overall excellent,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,4
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice phone,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Nice product ğŸ«°,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"IQOO Z9s 5G (Onyx Green, 128 GB) Reviews",Very good phone ğŸ“±,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",One of the best phones I have used till now. Such a premium experience and white colour looks super cool and I loved it.,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",One of the best phones I have used till now. Such a premium experience and white colour looks super cool and I loved it.,4
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",This phone very excellent ğŸ‘ŒğŸ‘ŒğŸ‘Œ12/256 RAM /ROMğŸ˜,4
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",This phone very excellent ğŸ‘ŒğŸ‘ŒğŸ‘Œ12/256 RAM /ROMğŸ˜,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",At this range it's a excellent phone.. It's support to 5G is amazing.. Overall fantastic. I recommend ppl to buy it..,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",At this range it's a excellent phone.. It's support to 5G is amazing.. Overall fantastic. I recommend ppl to buy it..,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Nice Product. Camera quality awesome.,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Nice Product. Camera quality awesome.,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Good phone. Look and feel is good in hand. Best at this price range,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Good phone. Look and feel is good in hand. Best at this price range,3
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","I think the camera quality is decent...I would like to give 4.1 out of 5 in camera department... battery backup is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for it",5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","I think the camera quality is decent...I would like to give 4.1 out of 5 in camera department... battery backup is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for it",5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",But heating issue is then playing game,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",But heating issue is then playing game,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Good product and nice price,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Good product and nice price,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Nice product value for money ğŸ’°ğŸ’°ğŸ’°,4
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Nice product value for money ğŸ’°ğŸ’°ğŸ’°,4
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","Nothing 2a has EXCEEDED my expectations, being a midrange phone it looks, feels and performs as a flagship..it's definately an eye grabber, glyphs are not just for the show but has real life uses.. one drawback though is finger prints are all over the phone, it's too glossy, or may be because I got the black one.. but other than that this phone is lit ğŸ”¥ Good job Nothing.. I'm sure my next phone is gonna be Nothing 3? Hoping for the best",3
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","Nothing 2a has EXCEEDED my expectations, being a midrange phone it looks, feels and performs as a flagship..it's definately an eye grabber, glyphs are not just for the show but has real life uses.. one drawback though is finger prints are all over the phone, it's too glossy, or may be because I got the black one.. but other than that this phone is lit ğŸ”¥ Good job Nothing.. I'm sure my next phone is gonna be Nothing 3? Hoping for the best",5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",One of the best phones I have used till now. Such a premium experience and white colour looks super cool and I loved it.,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",One of the best phones I have used till now. Such a premium experience and white colour looks super cool and I loved it.,4
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",This phone very excellent ğŸ‘ŒğŸ‘ŒğŸ‘Œ12/256 RAM /ROMğŸ˜,4
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",This phone very excellent ğŸ‘ŒğŸ‘ŒğŸ‘Œ12/256 RAM /ROMğŸ˜,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",At this range it's a excellent phone.. It's support to 5G is amazing.. Overall fantastic. I recommend ppl to buy it..,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",At this range it's a excellent phone.. It's support to 5G is amazing.. Overall fantastic. I recommend ppl to buy it..,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Nice Product. Camera quality awesome.,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Nice Product. Camera quality awesome.,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Good phone. Look and feel is good in hand. Best at this price range,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Good phone. Look and feel is good in hand. Best at this price range,3
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","I think the camera quality is decent...I would like to give 4.1 out of 5 in camera department... battery backup is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for it",5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","I think the camera quality is decent...I would like to give 4.1 out of 5 in camera department... battery backup is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for it",5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",But heating issue is then playing game,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",But heating issue is then playing game,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Good product and nice price,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Good product and nice price,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Nice product value for money ğŸ’°ğŸ’°ğŸ’°,4
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Nice product value for money ğŸ’°ğŸ’°ğŸ’°,4
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","Nothing 2a has EXCEEDED my expectations, being a midrange phone it looks, feels and performs as a flagship..it's definately an eye grabber, glyphs are not just for the show but has real life uses.. one drawback though is finger prints are all over the phone, it's too glossy, or may be because I got the black one.. but other than that this phone is lit ğŸ”¥ Good job Nothing.. I'm sure my next phone is gonna be Nothing 3? Hoping for the best",3
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","Nothing 2a has EXCEEDED my expectations, being a midrange phone it looks, feels and performs as a flagship..it's definately an eye grabber, glyphs are not just for the show but has real life uses.. one drawback though is finger prints are all over the phone, it's too glossy, or may be because I got the black one.. but other than that this phone is lit ğŸ”¥ Good job Nothing.. I'm sure my next phone is gonna be Nothing 3? Hoping for the best",5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","I think the camera quality is decent...I would like to give 4.1 out of 5 in camera department... battery backup is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for it",5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","I think the camera quality is decent...I would like to give 4.1 out of 5 in camera department... battery backup is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for it",5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",But heating issue is then playing game,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",But heating issue is then playing game,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Good product and nice price,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Good product and nice price,5
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Nice product value for money ğŸ’°ğŸ’°ğŸ’°,4
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews",Nice product value for money ğŸ’°ğŸ’°ğŸ’°,4
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","Nothing 2a has EXCEEDED my expectations, being a midrange phone it looks, feels and performs as a flagship..it's definately an eye grabber, glyphs are not just for the show but has real life uses.. one drawback though is finger prints are all over the phone, it's too glossy, or may be because I got the black one.. but other than that this phone is lit ğŸ”¥ Good job Nothing.. I'm sure my next phone is gonna be Nothing 3? Hoping for the best",3
"Nothing Phone (2a) 5G (Special Edition, 256 GB) Reviews","Nothing 2a has EXCEEDED my expectations, being a midrange phone it looks, feels and performs as a flagship..it's definately an eye grabber, glyphs are not just for the show but has real life uses.. one drawback though is finger prints are all over the phone, it's too glossy, or may be because I got the black one.. but other than that this phone is lit ğŸ”¥ Good job Nothing.. I'm sure my next phone is gonna be Nothing 3? Hoping for the best",5
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews",everything is very good,5
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews",everything is very good,5
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews","Camera quality excellent, battery very good, performance very good, overall phone quality is very good ğŸ˜Š I love it â¤ï¸",5
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews","Camera quality excellent, battery very good, performance very good, overall phone quality is very good ğŸ˜Š I love it â¤ï¸",5
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews","Camera good
Display ğŸ‘",4
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews","Camera good
Display ğŸ‘",4
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews",Good,5
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews",Good,4
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews",Good product like a camera chargeing speed and degin,5
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews",Good product like a camera chargeing speed and degin,5
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB) Reviews",Good quality OnePlus Nord ce3 lite ğŸ‘,5
